,Ticker,Year,MarketCap,TrailingPE,PriceToBook,PriceToSales,ReturnOnEquity,ReturnOnAssets,DebtToEquity,CurrentRatio,ProfitMargin,EpsGrowth5Y,RevenueGrowth,EpsGrowthYoY,Unnamed: 0
0,AA,2024,9259132105.07202,154.31886841786704,1.795449312598802,0.7784053892452308,0.0116346713205351,0.0042662116040955,1.7271669575334496,,0.0050441361916771,,,,
1,AA,2023,8118998980.453491,-12.471580615135933,1.909903312268523,0.7695004246472837,-0.1531404375441072,-0.0459908159660897,2.3298047518231004,,-0.0617003127665624,,-0.1129886506935687,-11.85,
2,AA,2022,12627913840.805054,-102.66596618540694,2.487768684161752,1.014208805783074,-0.0242316784869976,-0.0083355923014367,1.9070133963750984,,-0.0098787246004337,,0.1800777177518718,0.8110599078341014,
3,AA,2021,15552312195.281982,36.25247597967828,3.3288339459079586,1.2798150259448635,0.0918236301369863,0.0285524126455906,2.2159674657534247,,0.0353028308097432,,-0.0240141354108103,4.487804878048781,
0,AAL,2024,11607411451.583862,13.720344505418277,-2.9186350142277755,0.2141154277099456,-0.2127231581594166,0.0136930870951556,-16.535076690973096,,0.0156056888823301,,,,
1,AAL,2023,9483782635.47516,11.537448461648612,-1.8231031594531253,0.1796579267158286,-0.1580161476355248,0.0130356180024739,-13.121876201460976,,0.0155717208456467,,-0.0262492852004205,-0.0283687943262411,
2,AAL,2022,9635470093.574524,75.86984325649232,-1.6615744255172484,0.196758695831707,-0.021900327642697,0.001962420421534,-12.159855147439211,,0.0025933715872659,,-0.0723081003258316,-0.8454987834549879,
3,AAL,2021,12715391812.850952,-6.380025997416434,-1.7323422088352796,0.4255201061793371,0.2715258855585831,-0.0299848044894458,-10.055449591280654,,-0.0666956696338933,,-0.3898021277899164,-16.69291338582677,
0,AAON,2024,9757276822.207031,57.886418537171146,11.832997594183515,8.126763606097633,0.204417510932812,0.1434259049687126,0.4252481863538132,,0.1403915428085971,-0.686,,,
1,AAON,2023,5879148014.088501,33.0990244173812,7.996403836230185,5.031285794560718,0.2415903180527295,0.1886724110826439,0.2804750661023035,,0.1520070722059908,-0.686,-0.0267500114522731,0.0537734561785487,
