Ticker,Sector
MSFT,Technology
NVDA,Technology
AAPL,Technology
AMZN,Consumer Cyclical
META,Communication Services
AVGO,Technology
GOOGL,Communication Services
TSLA,Consumer Cyclical
BRKB,N/A
GOOG,Communication Services
JPM,Financial Services
LLY,Healthcare
V,Financial Services
NFLX,Communication Services
XOM,Energy
MA,Financial Services
COST,Consumer Defensive
WMT,Consumer Defensive
PG,Consumer Defensive
JNJ,Healthcare
HD,Consumer Cyclical
ORCL,Technology
ABBV,Healthcare
BAC,Financial Services
PLTR,Technology
PM,Consumer Defensive
UNH,Healthcare
KO,Consumer Defensive
CSCO,Technology
IBM,Technology
GE,Industrials
WFC,Financial Services
CVX,Energy
CRM,Technology
ABT,Healthcare
LIN,Basic Materials
DIS,Communication Services
MCD,Consumer Cyclical
INTU,Technology
AMD,Technology
NOW,Technology
MRK,Healthcare
T,Communication Services
XTSLA,N/A
RTX,Industrials
ACN,Technology
GS,Financial Services
TXN,Technology
ISRG,Healthcare
PEP,Consumer Defensive
VZ,Communication Services
BKNG,Consumer Cyclical
CAT,Industrials
QCOM,Technology
UBER,Technology
ADBE,Technology
AXP,Financial Services
SPGI,Financial Services
AMGN,Healthcare
PGR,Financial Services
MS,Financial Services
TMO,Healthcare
SCHW,Financial Services
BSX,Healthcare
C,Financial Services
BA,Industrials
NEE,Utilities
HON,Industrials
BLK,Financial Services
AMAT,Technology
TJX,Consumer Cyclical
PFE,Healthcare
UNP,Industrials
SYK,Healthcare
GILD,Healthcare
MU,Technology
GEV,Industrials
ETN,Industrials
DE,Industrials
PANW,Technology
CMCSA,Communication Services
ADP,Technology
DHR,Healthcare
COF,Financial Services
COP,Energy
LOW,Consumer Cyclical
LRCX,Technology
VRTX,Healthcare
KLAC,Technology
CB,Financial Services
ADI,Technology
CRWD,Technology
MDT,Healthcare
APH,Technology
MMC,Financial Services
SPOT,Communication Services
SBUX,Consumer Cyclical
TMUS,Communication Services
ICE,Financial Services
MO,Consumer Defensive
AMT,Real Estate
BX,Financial Services
LMT,Industrials
CME,Financial Services
PLD,Real Estate
SO,Utilities
CEG,Utilities
TT,Industrials
BMY,Healthcare
WELL,Real Estate
WM,Industrials
INTC,Technology
ANET,Technology
MCK,Healthcare
FI,Technology
APP,Communication Services
MDLZ,Consumer Defensive
DUK,Utilities
ELV,Healthcare
EQIX,Real Estate
MSTR,Technology
CI,Healthcare
CVS,Healthcare
PH,Industrials
KKR,Financial Services
CDNS,Technology
DASH,Consumer Cyclical
AJG,Financial Services
MMM,Industrials
SHW,Basic Materials
TDG,Industrials
ORLY,Consumer Cyclical
CTAS,Industrials
GD,Industrials
MCO,Financial Services
EMR,Industrials
SNPS,Technology
UPS,Industrials
WMB,Energy
CL,Consumer Defensive
ITW,Industrials
CMG,Consumer Cyclical
NKE,Consumer Cyclical
ZTS,Healthcare
HCA,Healthcare
PNC,Financial Services
APO,Financial Services
EOG,Energy
HWM,Industrials
PYPL,Financial Services
AON,Financial Services
JCI,Industrials
USB,Financial Services
NOC,Industrials
MSI,Technology
NEM,Basic Materials
SNOW,Technology
BK,Financial Services
ECL,Basic Materials
MRVL,Technology
FTNT,Technology
ADSK,Technology
RCL,Consumer Cyclical
CSX,Industrials
VST,Utilities
APD,Basic Materials
CRH,Basic Materials
AZO,Consumer Cyclical
COIN,Financial Services
TRV,Financial Services
ROP,Technology
HLT,Consumer Cyclical
FCX,Basic Materials
